ROW,GISJOIN,FIPS,ADI_NATRANK,ADI_STATERNK
125727,G29016904704022,291694704022,58,4
125728,G29016904704023,291694704023,56,3
125729,G29016904704024,291694704024,59,4
125730,G29016904705011,291694705011,72,6
125731,G29016904705012,291694705012,69,5
125732,G29016904705021,291694705021,79,7
125733,G29016904705022,291694705022,96,10
125734,G29016904706011,291694706011,GQ,GQ
125735,G29016904706021,291694706021,GQ,GQ
125736,G29017109601001,291719601001,83,7
125737,G29017109601002,291719601002,87,8
125738,G29017109601003,291719601003,77,6
125739,G29017109601004,291719601004,89,9
125740,G29017109602001,291719602001,90,9
125741,G29017109602002,291719602002,91,9
125742,G29017109602003,291719602003,96,10
125743,G29017304701001,291734701001,74,6
125744,G29017304701002,291734701002,85,8
125745,G29017304701003,291734701003,85,8
125746,G29017304702001,291734702001,66,5
125747,G29017304702002,291734702002,61,4
125748,G29017304702003,291734702003,86,8
125749,G29017304703001,291734703001,74,6
125750,G29017304703002,291734703002,90,9
125751,G29017304703003,291734703003,80,7
125752,G29017304703004,291734703004,80,7
125753,G29017504901001,291754901001,77,6
125754,G29017504901002,291754901002,69,5
125755,G29017504901003,291754901003,73,6
125756,G29017504902001,291754902001,83,7
125757,G29017504902002,291754902002,86,8
125758,G29017504902003,291754902003,96,10
125759,G29017504902004,291754902004,85,8
125760,G29017504903001,291754903001,97,10
125761,G29017504903002,291754903002,97,10
125762,G29017504903003,291754903003,97,10
125763,G29017504903004,291754903004,97,10
125764,G29017504903005,291754903005,97,10
125765,G29017504904001,291754904001,69,5
125766,G29017504904002,291754904002,95,10
125767,G29017504904003,291754904003,80,7
125768,G29017504905001,291754905001,94,9
125769,G29017504905002,291754905002,95,10
125770,G29017504905003,291754905003,81,7
125771,G29017504905004,291754905004,74,6
125772,G29017504906001,291754906001,GQ,GQ
125773,G29017504906002,291754906002,58,4
125774,G29017504906003,291754906003,97,10
125775,G29017504906004,291754906004,80,7
125776,G29017700800011,291770800011,64,4
125777,G29017700800012,291770800012,49,3
125778,G29017700800021,291770800021,54,3
125779,G29017700800022,291770800022,61,4
125780,G29017700800023,291770800023,53,3
125781,G29017700800024,291770800024,74,6
125782,G29017700800025,291770800025,79,7
125783,G29017700801001,291770801001,57,3
125784,G29017700801002,291770801002,58,4
125785,G29017700801003,291770801003,86,8
125786,G29017700802011,291770802011,81,7
125787,G29017700802012,291770802012,100,10
125788,G29017700802013,291770802013,64,4
125789,G29017700802021,291770802021,88,8
125790,G29017700802022,291770802022,60,4
125791,G29017700802023,291770802023,85,8
125792,G29017700802024,291770802024,72,6
125793,G29017700803001,291770803001,82,7
125794,G29017700803002,291770803002,58,4
125795,G29017700803003,291770803003,62,4
125796,G29017700803004,291770803004,60,4
125797,G29017903801001,291793801001,86,8
125798,G29017903801002,291793801002,90,9
125799,G29017903801003,291793801003,95,10
125800,G29017903802001,291793802001,96,10
125801,G29017903802002,291793802002,92,9
125802,G29017903802003,291793802003,79,7
125803,G29018108701001,291818701001,79,7
125804,G29018108701002,291818701002,88,8
125805,G29018108701003,291818701003,93,9
125806,G29018108701004,291818701004,79,7
125807,G29018108702001,291818702001,92,9
125808,G29018108702002,291818702002,94,9
125809,G29018108702003,291818702003,94,9
125810,G29018108703001,291818703001,93,9
125811,G29018108703002,291818703002,93,9
125812,G29018108703003,291818703003,90,9
125813,G29018108703004,291818703004,94,9
125814,G29018108704001,291818704001,90,9
125815,G29018108704002,291818704002,86,8
125816,G29018108704003,291818704003,95,10
125817,G29018303101001,291833101001,62,4
125818,G29018303101002,291833101002,56,3
125819,G29018303101003,291833101003,62,4
125820,G29018303102011,291833102011,34,1
125821,G29018303102012,291833102012,34,1
125822,G29018303102013,291833102013,36,1
125823,G29018303102014,291833102014,43,2
125824,G29018303102021,291833102021,45,2
125825,G29018303102022,291833102022,51,3
125826,G29018303103011,291833103011,52,3
125827,G29018303103012,291833103012,53,3
125828,G29018303103021,291833103021,70,5
125829,G29018303103022,291833103022,50,3
125830,G29018303104001,291833104001,57,3
125831,G29018303104002,291833104002,71,5
125832,G29018303105011,291833105011,74,6
125833,G29018303105012,291833105012,GQ,GQ
125834,G29018303105013,291833105013,79,7
125835,G29018303105014,291833105014,75,6
125836,G29018303105021,291833105021,57,3
125837,G29018303105022,291833105022,63,4
125838,G29018303106011,291833106011,61,4
125839,G29018303106012,291833106012,GQ,GQ
125840,G29018303106021,291833106021,32,1
125841,G29018303106022,291833106022,49,3
125842,G29018303106023,291833106023,55,3
125843,G29018303107001,291833107001,73,6
125844,G29018303107002,291833107002,71,5
125845,G29018303107003,291833107003,61,4
125846,G29018303108011,291833108011,45,2
125847,G29018303108021,291833108021,62,4
125848,G29018303108022,291833108022,51,3
125849,G29018303108023,291833108023,52,3
125850,G29018303108024,291833108024,48,2
125851,G29018303109011,291833109011,67,5
125852,G29018303109021,291833109021,59,4
125853,G29018303109022,291833109022,41,2
125854,G29018303109023,291833109023,35,1
125855,G29018303109031,291833109031,43,2
125856,G29018303109032,291833109032,52,3
125857,G29018303109033,291833109033,45,2
125858,G29018303110011,291833110011,51,3
125859,G29018303110012,291833110012,54,3
125860,G29018303110031,291833110031,42,2
125861,G29018303110032,291833110032,54,3
125862,G29018303110033,291833110033,55,3
125863,G29018303110041,291833110041,53,3
125864,G29018303110042,291833110042,53,3
125865,G29018303110043,291833110043,53,3
125866,G29018303110044,291833110044,53,3
125867,G29018303111031,291833111031,16,1
125868,G29018303111032,291833111032,12,1
125869,G29018303111033,291833111033,19,1
125870,G29018303111034,291833111034,35,1
125871,G29018303111141,291833111141,37,2
125872,G29018303111142,291833111142,30,1
125873,G29018303111221,291833111221,49,3
125874,G29018303111222,291833111222,29,1
125875,G29018303111223,291833111223,50,3
125876,G29018303111224,291833111224,43,2
125877,G29018303111241,291833111241,29,1
125878,G29018303111242,291833111242,41,2
125879,G29018303111243,291833111243,33,1
125880,G29018303111244,291833111244,40,2
125881,G29018303111321,291833111321,25,1
125882,G29018303111451,291833111451,48,2
125883,G29018303111452,291833111452,22,1
125884,G29018303111453,291833111453,29,1
125885,G29018303111461,291833111461,28,1
125886,G29018303111462,291833111462,70,5
125887,G29018303111463,291833111463,30,1
125888,G29018303111471,291833111471,44,2
125889,G29018303111472,291833111472,50,3
125890,G29018303111473,291833111473,45,2
125891,G29018303111481,291833111481,44,2
125892,G29018303111482,291833111482,25,1
125893,G29018303111483,291833111483,40,2
125894,G29018303111484,291833111484,30,1
125895,G29018303111491,291833111491,55,3
125896,G29018303111492,291833111492,61,4
125897,G29018303111501,291833111501,43,2
125898,G29018303111502,291833111502,35,1
125899,G29018303111503,291833111503,37,2
125900,G29018303111511,291833111511,27,1
125901,G29018303111512,291833111512,32,1
125902,G29018303111513,291833111513,39,2
125903,G29018303111514,291833111514,19,1
125904,G29018303111521,291833111521,34,1
125905,G29018303111522,291833111522,32,1
125906,G29018303111523,291833111523,31,1
125907,G29018303111531,291833111531,33,1
125908,G29018303111532,291833111532,38,2
125909,G29018303111533,291833111533,36,1
125910,G29018303111541,291833111541,33,1
125911,G29018303111542,291833111542,28,1
125912,G29018303112031,291833112031,49,3
125913,G29018303112032,291833112032,48,2
125914,G29018303112033,291833112033,60,4
125915,G29018303112111,291833112111,32,1
125916,G29018303112112,291833112112,75,6
125917,G29018303112121,291833112121,41,2
125918,G29018303112122,291833112122,55,3
125919,G29018303112123,291833112123,70,5
125920,G29018303112211,291833112211,63,4
125921,G29018303112212,291833112212,45,2
125922,G29018303112941,291833112941,49,3
125923,G29018303112942,291833112942,44,2
125924,G29018303112961,291833112961,53,3
125925,G29018303112962,291833112962,48,2
125926,G29018303113111,291833113111,49,3
125927,G29018303113112,291833113112,56,3
125928,G29018303113113,291833113113,51,3
125929,G29018303113121,291833113121,47,2
125930,G29018303113122,291833113122,48,2
125931,G29018303113123,291833113123,45,2
125932,G29018303113124,291833113124,53,3
125933,G29018303113221,291833113221,40,2
125934,G29018303113222,291833113222,43,2
125935,G29018303113223,291833113223,32,1
125936,G29018303113311,291833113311,49,3
125937,G29018303113312,291833113312,48,2
125938,G29018303113313,291833113313,51,3
125939,G29018303113911,291833113911,53,3
125940,G29018303113912,291833113912,48,2
125941,G29018303113913,291833113913,56,3
125942,G29018303114221,291833114221,60,4
125943,G29018303114222,291833114222,51,3
125944,G29018303114223,291833114223,60,4
125945,G29018303114224,291833114224,49,3
125946,G29018303115001,291833115001,72,6
125947,G29018303115002,291833115002,100,10
125948,G29018303116021,291833116021,52,3
125949,G29018303116022,291833116022,65,5
125950,G29018303116023,291833116023,62,4
125951,G29018303116024,291833116024,54,3
125952,G29018303116025,291833116025,48,2
125953,G29018303116031,291833116031,50,3
125954,G29018303116032,291833116032,60,4
125955,G29018303116041,291833116041,79,7
125956,G29018303116042,291833116042,31,1
125957,G29018303116043,291833116043,41,2
125958,G29018303117121,291833117121,42,2
125959,G29018303117122,291833117122,40,2
125960,G29018303117123,291833117123,38,2
125961,G29018303117211,291833117211,38,2
125962,G29018303117212,291833117212,37,2
125963,G29018303117321,291833117321,56,3
125964,G29018303117322,291833117322,46,2
125965,G29018303117323,291833117323,50,3
125966,G29018303117324,291833117324,64,4
125967,G29018303117325,291833117325,34,1
125968,G29018303117331,291833117331,54,3
125969,G29018303117341,291833117341,48,2
125970,G29018303117342,291833117342,49,3
125971,G29018303117343,291833117343,53,3
125972,G29018303117351,291833117351,37,2
125973,G29018303117352,291833117352,31,1
125974,G29018303117353,291833117353,34,1
125975,G29018303117354,291833117354,31,1
125976,G29018303117371,291833117371,22,1
125977,G29018303117372,291833117372,38,2
125978,G29018303117381,291833117381,44,2
125979,G29018303117382,291833117382,66,5
125980,G29018303117391,291833117391,21,1
125981,G29018303117392,291833117392,33,1
125982,G29018303117393,291833117393,37,2
125983,G29018303117401,291833117401,25,1
125984,G29018303118011,291833118011,43,2
125985,G29018303118012,291833118012,43,2
125986,G29018303118013,291833118013,49,3
125987,G29018303118021,291833118021,77,6
125988,G29018303118022,291833118022,58,4
125989,G29018303118023,291833118023,34,1
125990,G29018303118024,291833118024,52,3
125991,G29018303119031,291833119031,38,2
125992,G29018303119032,291833119032,34,1
125993,G29018303119033,291833119033,37,2
125994,G29018303119034,291833119034,51,3
125995,G29018303119041,291833119041,36,1
125996,G29018303119042,291833119042,31,1
125997,G29018303119043,291833119043,24,1
